鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
羅東鎮,土地,仁愛一段481~510地號,2737.35,,特定農業區,農牧用地,1071003,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18110000,6616,,0.0,0,,RPVNMLMLJINFFAG28CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮純精路三段151~180號,25.59,住,,,1071016,土地2建物1車位0,一層，地下一層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0851109,177.05,0,0,0,無,有,14800000,83592,,0.0,0,,RPWNMLMLJINFFAG38CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮敬業路1~30號,18.27,住,,,1071102,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830324,105.48,3,1,2,有,有,2200000,20857,,0.0,0,二親等買賣關係母子,RPPOMLMLJINFFAG77CA
三星鄉,土地,健富段511~540地號,508.0,,特定農業區,甲種建築用地,1071026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8750000,17224,,0.0,0,"買賣總價款含地上未保存建物,此建物為老房子,折舊年數約52年",RPTNMLNLJINFFAG18CA
冬山鄉,房地(土地+建物)+車位,宜蘭縣冬山鄉安農三路18巷1~30號,53.98,,特定農業區,甲種建築用地,1071023,土地1建物1車位1,一層，二層，三層，四層,四層,其他,住家用,鋼筋混凝土造,0830927,199.66,3,2,2,有,無,4600000,,坡道平面,0.0,0,"3、4樓重疊,陽台外推",RPSNMLRLJINFFAG48CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉富堵六路31~60號,685.0,,特定農業區,農牧用地,1071023,土地1建物1車位0,一層,一層,其他,見其他登記事項,見其他登記事項,1070831,112.0,0,0,0,無,無,4000000,,,0.0,0,建物型態:農業設施(花卉溫室),RPXOMLOJKINFFAG68CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉大埤二路151~180號,1003.79,農,,,1071017,土地2建物1車位0,一層，二層，三層,三層,農舍,農舍,見其他登記事項,0990423,281.68,7,2,8,有,無,23000000,,,0.0,0,,RPPNMLSJKINFFAG18CA
蘇澳鎮,土地,慶安段571~600地號,2506.03,住,,,1071101,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18200000,7262,,0.0,0,,RPPNMLLKKINFFAG57CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市慈安路49巷2弄61~90號,22.72,住,,,1071103,土地1建物1車位0,六層，夾層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840918,124.72,3,2,2,有,有,3360000,26940,,0.0,0,,RPOQMLMLJINFFBG97CA
頭城鎮,土地,拔雅林三段901~930地號,16.03,住,,,1071030,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,771364,48120,,0.0,0,向政府機關承購之案件。;,RPQQMLMLJINFFBG18CA
員山鄉,土地,永結段361~390地號,1307.53,,一般農業區,丁種建築用地,1070918,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20000000,15296,,0.0,0,,RPQNMLNLJINFFBG97CA
頭城鎮,土地,武營段91~120地號,22.61,住,,,1071018,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,35383,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPSNMLNLJINFFBG18CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉復興街1~30號,13.05,住,,,1071025,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740618,49.04,2,1,1,有,無,2000000,40783,,0.0,0,,RPQOMLQLJINFFBG38CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉德陽路151~180號,16.42,住,,,1071026,土地1建物1車位0,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871102,101.47999999999999,2,1,1,有,無,5100000,50256,,0.0,0,,RPPNMLRLJINFFBG28CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市宜興路三段1~30號,28.07,住,,,1071012,土地1建物1車位0,四層,六層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1030701,87.25999999999999,1,1,1,有,無,4050000,46413,,0.0,0,買受人共2人，有機車位*2(編號4-3)。,RPSQMLOJKINFFBG48CA
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮復興路170巷1~30號,63.95,住,,,1061201,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070831,106.04,2,2,3,有,無,10400000,98076,,0.0,0,,RPTPMLNKKINFFBG48CA
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮復興路170巷1~30號,59.5,住,,,1070823,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070831,104.21,2,2,3,有,無,10400000,99798,,0.0,0,,RPUPMLNKKINFFBG58CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市嵐峰路三段108巷31~60號,123.0,住,,,1071029,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0700903,113.36,3,1,2,有,無,4500000,39697,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLRKKINFFBG28CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市民權新路271~300號,20.66,住,,,1071102,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880121,102.69999999999999,3,2,2,有,有,6000000,58423,,0.0,0,,RPWNMLRKKINFFBG98CA
五結鄉,土地,利工段151~180地號,4330.33,,工業區,丁種建築用地,1071106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,45035432,10400,,0.0,0,向政府機關承購之案件。;,RPSNMLMLJINFFAG18EA
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市校舍二路27巷1~30號,24.72,住,,,1071026,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871119,161.53,4,2,2,有,有,4700000,29097,坡道平面,0.0,0,所有權人共二人、機車位一個、二等親買賣,RPWPMLLLJINFFBG78EA
宜蘭市,土地,巽門一段841~870地號,55.01,商,,,1070827,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,127250,,0.0,0,親友、員工或其他特殊關係間之交易。;含未保存登記建物一棟持分:1/2,RPPNMLQLJINFFBG38EA
壯圍鄉,土地,新南段421~450地號,666.0,,特定農業區,農牧用地,1071028,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,3754,,0.0,0,,RPSOMLKMJINFFBG18DA
壯圍鄉,土地,新社段361~390地號,1756.0,,,,1071026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,1708,,0.0,0,,RPRNMLKKKINFFBG77CA
